ACCT_ID,FIRST_YR_CUSTOMER,COUNTRY,ACCT_MGR_STATUS,ACCT_REVENUE_CAT,ACCT_EMPLOYEE_CAT,ACCT_TYPE,NPS_SCORE_2015,NPS_SCORE_2016,MEDICAL_REVENUE_2015,SCIENTIFIC_REVENUE_2015,TECHNICAL_REVENUE_2015,MEDICAL_REVENUE_2016,SCIENTIFIC_REVENUE_2016,TECHNICAL_REVENUE_2016,MEDICAL_NO_SESSIONS_2015,SCIENTIFIC_NO_SESSIONS_2015,TECHNICAL_NO_SESSIONS_2015,MEDICAL_NO_SESSIONS_2016,SCIENTIFIC_NO_SESSIONS_2016,TECHNICAL_NO_SESSIONS_2016,USERS_2015,USERS_2016,STATUS
10544780,2016,FRANCE,HEAD OF FUNCTION,$500m-$1bn,501 - 1000 employees,Research,,,,,,,,55.0,,,,,,31.0,,1.0,Active
10548628,2016,NETHERLANDS,DIRECTOR OF FUNCTION,$1bn+,1001 - 5000 employees,Academic,,,,,,,44.0,,,,,,45.0,,,1.0,Active
10624908,2016,GERMANY,SENIOR MANAGER,$100-$500m,501 - 1000 employees,Research,,9.0,,,,66.0,,55.0,,,,4.0,,4.0,,1.0,Active
10628765,2016,FRANCE,BOARD DIRECTOR,$500m-$1bn,1001 - 5000 employees,Academic,,8.0,,,,,44.0,55.0,,,,,10.0,2.0,,1.0,Active
10630588,2016,UNITED KINGDOM,SENIOR MANAGER,$20-$50m,11 - 50 employees,Academic,,,,,,,44.0,,,,,,42.0,,,1.0,Active
10663409,2016,NETHERLANDS,BOARD DIRECTOR,$100-$500m,100 - 500 employees,Research,,,,,,313.5,209.0,261.25,,,,15.0,13.0,125.0,,5.0,Active
10675173,2016,SPAIN,SENIOR MANAGER,$100-$500m,501 - 1000 employees,Academic,,,,,,,,275.0,,,,,,215.0,,5.0,Active
10688483,2016,UNITED STATES,SENIOR MANAGER,$100-$500m,100 - 500 employees,Academic,,,,,,313.5,209.0,261.25,,,,121.0,9.0,8.0,,5.0,Active
10691131,2016,UNITED STATES,HEAD OF FUNCTION,$1bn+,1001 - 5000 employees,Academic,,,,,,,,250.8,,,,,,162.0,,6.0,Active
10721000,2016,UNITED STATES,DIRECTOR OF FUNCTION,$1bn+,5000+ employees,Academic,,,,,,,211.2,,,,,,258.0,,,6.0,Active
10727571,2016,UNITED STATES,DIRECTOR OF FUNCTION,$1bn+,1001 - 5000 employees,Corporate,,,,,,117.04,79.42,98.23,,,,54.0,,,,2.0,Active
10731463,2016,RUSSIA,DIRECTOR OF FUNCTION,$100-$500m,501 - 1000 employees,Academic,,,,,,275.88,200.64,238.26,,,,4.0,,1.0,,6.0,Active
10754124,2016,SPAIN,MANAGER,$500m-$1bn,501 - 1000 employees,Corporate,,,,,,62.7,41.8,52.25,,,,,,,,1.0,Active
10776222,2016,SPAIN,DIRECTOR OF FUNCTION,$20-$50m,51 - 100 employees,Corporate,,,,,,,211.2,,,,,,222.0,,,6.0,Active
10896501,2016,SPAIN,MANAGER,$20-$50m,51 - 100 employees,Corporate,,,,,,66.0,,55.0,,,,10.0,,16.0,,1.0,Active
10966877,2016,RUSSIA,MANAGER,$20-$50m,11 - 50 employees,Research,,,,,,275.88,200.64,238.26,,,,126.0,103.0,28.0,,6.0,Active
10986290,2016,UNITED KINGDOM,HEAD OF FUNCTION,$100-$500m,501 - 1000 employees,Research,,,,,,62.7,41.8,52.25,,,,11.0,5.0,,,1.0,Active
11009367,2016,NETHERLANDS,BOARD DIRECTOR,$20-$50m,11 - 50 employees,Research,,,,,,,,55.0,,,,,,27.0,,1.0,Active
11045141,2016,SPAIN,BOARD DIRECTOR,$50-$100m,51 - 100 employees,Academic,,8.0,,,,117.04,79.42,98.23,,,,27.0,17.0,28.0,,2.0,Active
11059610,2016,UNITED KINGDOM,MANAGER,$50-$100m,100 - 500 employees,Research,,8.0,,,,66.0,,55.0,,,,5.0,,5.0,,1.0,Active
11114455,2016,NETHERLANDS,DIRECTOR OF FUNCTION,$1bn+,1001 - 5000 employees,Academic,,,,,,290.4,,250.8,,,,146.0,,21.0,,6.0,Active
11140367,2016,UNITED KINGDOM,BOARD DIRECTOR,$100-$500m,100 - 500 employees,Research,,,,,,,211.2,,,,,,,,,6.0,Active
11143927,2016,FRANCE,MANAGER,$1bn+,1001 - 5000 employees,Academic,,,,,,,211.2,,,,,,162.0,,,6.0,Active
11194404,2016,UNITED STATES,HEAD OF FUNCTION,$100-$500m,100 - 500 employees,Academic,,,,,,66.0,,55.0,,,,7.0,,15.0,,1.0,Active
11219368,2016,FRANCE,SENIOR MANAGER,Less than $20m,0 - 10 employees,Corporate,,8.0,,,,,44.0,,,,,,23.0,,,1.0,Active
11252909,2016,NETHERLANDS,DIRECTOR OF FUNCTION,Less than $20m,11 - 50 employees,Research,,,,,,62.7,41.8,52.25,,,,1.0,9.0,2.0,,1.0,Active
11332140,2016,GERMANY,MANAGER,$1bn+,5000+ employees,Research,,,,,,66.0,,,,,,35.0,,,,1.0,Active
11429149,2016,RUSSIA,MANAGER,$20-$50m,51 - 100 employees,Academic,,,,,,62.7,41.8,52.25,,,,3.0,,,,1.0,Active
11476849,2016,RUSSIA,MANAGER,$20-$50m,11 - 50 employees,Research,,,,,,62.7,41.8,52.25,,,,5.0,2.0,,,1.0,Active
11510455,2016,SPAIN,DIRECTOR OF FUNCTION,$20-$50m,11 - 50 employees,Corporate,,,,,,123.2,,,,,,4.0,,,,2.0,Active
11529242,2016,RUSSIA,SENIOR MANAGER,$500m-$1bn,501 - 1000 employees,Research,,10.0,,,,290.4,211.2,,,,,144.0,71.0,,,6.0,Active
11538412,2016,SPAIN,HEAD OF FUNCTION,$1bn+,5000+ employees,Academic,,,,,,211.2,,180.4,,,,9.0,,2.0,,4.0,Active
11549758,2016,UNITED KINGDOM,SENIOR MANAGER,$50-$100m,100 - 500 employees,Research,,7.0,,,,66.0,44.0,,,,,30.0,10.0,,,1.0,Active
11573073,2016,RUSSIA,MANAGER,$20-$50m,51 - 100 employees,Corporate,,,,,,,44.0,,,,,,29.0,,,1.0,Active
11573332,2016,GERMANY,SENIOR MANAGER,Less than $20m,0 - 10 employees,Corporate,,,,,,62.7,41.8,52.25,,,,2.0,1.0,2.0,,1.0,Active
11611997,2016,NETHERLANDS,BOARD DIRECTOR,$1bn+,1001 - 5000 employees,Research,,,,,,62.7,41.8,52.25,,,,14.0,3.0,17.0,,1.0,Active
11640708,2016,RUSSIA,DIRECTOR OF FUNCTION,Less than $20m,11 - 50 employees,Corporate,,,,,,62.7,41.8,52.25,,,,7.0,13.0,18.0,,1.0,Active
11652380,2016,UNITED STATES,SENIOR MANAGER,$1bn+,1001 - 5000 employees,Research,,,,,,290.4,,250.8,,,,15.0,,200.0,,6.0,Active
11680474,2016,GERMANY,BOARD DIRECTOR,Less than $20m,11 - 50 employees,Corporate,,9.0,,,,,,145.2,,,,,,72.0,,3.0,Active
11742685,2016,FRANCE,HEAD OF FUNCTION,$1bn+,5000+ employees,Academic,,,,,,,,55.0,,,,,,32.0,,1.0,Active
11759191,2016,UNITED STATES,SENIOR MANAGER,$500m-$1bn,501 - 1000 employees,Corporate,,7.0,,,,,,55.0,,,,,,22.0,,1.0,Active
11876830,2016,UNITED STATES,DIRECTOR OF FUNCTION,Less than $20m,0 - 10 employees,Academic,,,,,,123.2,,103.4,,,,17.0,,20.0,,2.0,Active
11876949,2016,RUSSIA,BOARD DIRECTOR,$100-$500m,100 - 500 employees,Research,,8.0,,,,,149.6,180.4,,,,,23.0,108.0,,4.0,Active
11882291,2016,NETHERLANDS,DIRECTOR OF FUNCTION,$1bn+,5000+ employees,Research,,10.0,,,,62.7,41.8,52.25,,,,3.0,1.0,4.0,,1.0,Active
11898007,2016,UNITED STATES,DIRECTOR OF FUNCTION,$20-$50m,11 - 50 employees,Corporate,,,,,,,118.8,145.2,,,,,125.0,6.0,,3.0,Active
11924968,2016,FRANCE,HEAD OF FUNCTION,$100-$500m,100 - 500 employees,Research,,,,,,66.0,,55.0,,,,12.0,,9.0,,1.0,Active
11926826,2016,RUSSIA,HEAD OF FUNCTION,Less than $20m,11 - 50 employees,Corporate,,,,,,,,55.0,,,,,,22.0,,1.0,Active
11944400,2016,UNITED STATES,SENIOR MANAGER,Less than $20m,11 - 50 employees,Research,,7.0,,,,62.7,41.8,52.25,,,,10.0,1.0,6.0,,1.0,Active
11965376,2016,RUSSIA,MANAGER,$20-$50m,51 - 100 employees,Corporate,,,,,,,44.0,,,,,,13.0,,,1.0,Active
11972394,2016,UNITED STATES,MANAGER,$1bn+,5000+ employees,Academic,,8.0,,,,117.04,79.42,98.23,,,,47.0,3.0,1.0,,2.0,Active
11978703,2016,SPAIN,DIRECTOR OF FUNCTION,$20-$50m,11 - 50 employees,Corporate,,9.0,,,,,44.0,,,,,,16.0,,,1.0,Active
11994453,2016,NETHERLANDS,HEAD OF FUNCTION,$1bn+,5000+ employees,Research,,,,,,330.0,,275.0,,,,88.0,,126.0,,5.0,Active
12029398,2016,UNITED KINGDOM,HEAD OF FUNCTION,$500m-$1bn,501 - 1000 employees,Academic,,10.0,,,,62.7,41.8,52.25,,,,30.0,8.0,1.0,,1.0,Active
12115468,2016,UNITED STATES,SENIOR MANAGER,$20-$50m,11 - 50 employees,Corporate,,4.0,,,,275.88,200.64,238.26,,,,39.0,19.0,30.0,,6.0,Active
12123720,2016,UNITED STATES,HEAD OF FUNCTION,$20-$50m,11 - 50 employees,Academic,,,,,,,220.0,,,,,,70.0,,,5.0,Active
12197126,2016,IRELAND,MANAGER,$500m-$1bn,501 - 1000 employees,Academic,,10.0,,,,117.04,79.42,98.23,,,,10.0,3.0,33.0,,2.0,Active
12213066,2016,FRANCE,DIRECTOR OF FUNCTION,$50-$100m,51 - 100 employees,Corporate,,,,,,,44.0,,,,,,39.0,,,1.0,Active
12283945,2016,UNITED STATES,MANAGER,Less than $20m,0 - 10 employees,Academic,,,,,,200.64,142.12,171.38,,,,21.0,114.0,27.0,,4.0,Active
12331306,2016,GERMANY,DIRECTOR OF FUNCTION,$20-$50m,11 - 50 employees,Research,,,,,,62.7,41.8,52.25,,,,4.0,1.0,,,1.0,Active
12354028,2016,UNITED STATES,BOARD DIRECTOR,$1bn+,5000+ employees,Academic,,,,,,66.0,,,,,,23.0,,,,1.0,Active
12392667,2016,SPAIN,HEAD OF FUNCTION,$1bn+,1001 - 5000 employees,Research,,,,,,62.7,41.8,52.25,,,,11.0,10.0,14.0,,1.0,Active
12409917,2016,RUSSIA,MANAGER,$500m-$1bn,501 - 1000 employees,Research,,,,,,66.0,,55.0,,,,31.0,,12.0,,1.0,Active
12448694,2016,GERMANY,SENIOR MANAGER,$20-$50m,11 - 50 employees,Corporate,,10.0,,,,163.02,112.86,137.94,,,,14.0,23.0,4.0,,3.0,Active
12475441,2016,UNITED KINGDOM,MANAGER,$1bn+,1001 - 5000 employees,Corporate,,,,,,62.7,41.8,52.25,,,,1.0,,,,1.0,Active
12491085,2016,RUSSIA,HEAD OF FUNCTION,$50-$100m,51 - 100 employees,Corporate,,,,,,62.7,41.8,52.25,,,,3.0,5.0,1.0,,1.0,Active
12572412,2016,UNITED KINGDOM,BOARD DIRECTOR,$500m-$1bn,501 - 1000 employees,Corporate,,3.0,,,,,220.0,,,,,,50.0,,,5.0,Active
12582842,2016,UNITED STATES,BOARD DIRECTOR,$100-$500m,100 - 500 employees,Research,,10.0,,,,117.04,79.42,98.23,,,,9.0,,5.0,,2.0,Active
12606235,2016,SPAIN,SENIOR MANAGER,Less than $20m,0 - 10 employees,Academic,,,,,,,,55.0,,,,,,13.0,,1.0,Active
12624788,2016,NETHERLANDS,BOARD DIRECTOR,Less than $20m,11 - 50 employees,Corporate,,7.0,,,,290.4,,250.8,,,,128.0,,63.0,,6.0,Active
12625430,2016,FRANCE,DIRECTOR OF FUNCTION,$50-$100m,100 - 500 employees,Academic,,,,,,66.0,,,,,,26.0,,,,1.0,Active
12650536,2016,GERMANY,HEAD OF FUNCTION,Less than $20m,0 - 10 employees,Academic,,9.0,,,,200.64,142.12,171.38,,,,11.0,28.0,16.0,,4.0,Active
12652202,2016,FRANCE,BOARD DIRECTOR,$500m-$1bn,1001 - 5000 employees,Academic,,,,,,211.2,,180.4,,,,4.0,,3.0,,4.0,Active
12661529,2016,IRELAND,SENIOR MANAGER,$50-$100m,51 - 100 employees,Corporate,,,,,,275.88,200.64,238.26,,,,21.0,145.0,24.0,,6.0,Active
12706726,2016,RUSSIA,HEAD OF FUNCTION,$50-$100m,100 - 500 employees,Research,,,,,,163.02,112.86,137.94,,,,7.0,2.0,28.0,,3.0,Active
12734035,2016,UNITED STATES,MANAGER,Less than $20m,0 - 10 employees,Academic,,,,,,275.88,200.64,238.26,,,,144.0,21.0,31.0,,6.0,Active
12797418,2016,FRANCE,MANAGER,$50-$100m,100 - 500 employees,Academic,,,,,,66.0,,55.0,,,,22.0,,10.0,,1.0,Active
12851873,2016,SPAIN,HEAD OF FUNCTION,$20-$50m,11 - 50 employees,Research,,0.0,,,,,44.0,,,,,,1.0,,,1.0,Active
12852584,2016,UNITED STATES,MANAGER,$20-$50m,11 - 50 employees,Research,,7.0,,,,,149.6,,,,,,116.0,,,4.0,Active
12865903,2016,UNITED STATES,HEAD OF FUNCTION,$500m-$1bn,501 - 1000 employees,Corporate,,,,,,,44.0,,,,,,33.0,,,1.0,Active
12888686,2016,IRELAND,SENIOR MANAGER,$50-$100m,100 - 500 employees,Academic,,,,,,66.0,44.0,,,,,2.0,,,,1.0,Active
12907415,2016,UNITED STATES,DIRECTOR OF FUNCTION,$100-$500m,501 - 1000 employees,Academic,,,,,,275.88,200.64,238.26,,,,15.0,65.0,15.0,,6.0,Active
12946550,2016,RUSSIA,SENIOR MANAGER,$500m-$1bn,501 - 1000 employees,Corporate,,,,,,,44.0,55.0,,,,,,,,1.0,Active
12948135,2016,SPAIN,SENIOR MANAGER,$50-$100m,100 - 500 employees,Academic,,2.0,,,,62.7,41.8,52.25,,,,1.0,28.0,11.0,,1.0,Active
12959055,2016,GERMANY,MANAGER,Less than $20m,0 - 10 employees,Research,,,,,,,44.0,,,,,,32.0,,,1.0,Active
12977649,2016,UNITED STATES,HEAD OF FUNCTION,Less than $20m,0 - 10 employees,Academic,,,,,,163.02,112.86,137.94,,,,17.0,91.0,2.0,,3.0,Active
13038505,2016,BELGIUM,MANAGER,$20-$50m,11 - 50 employees,Academic,,,,,,,44.0,55.0,,,,,1.0,31.0,,1.0,Active
13058806,2016,BELGIUM,DIRECTOR OF FUNCTION,$100-$500m,100 - 500 employees,Research,,,,,,,44.0,55.0,,,,,27.0,5.0,,1.0,Active
13077932,2016,FRANCE,SENIOR MANAGER,$20-$50m,51 - 100 employees,Academic,,,,,,62.7,41.8,52.25,,,,6.0,10.0,,,1.0,Active
13101093,2016,NETHERLANDS,BOARD DIRECTOR,$20-$50m,11 - 50 employees,Corporate,,2.0,,,,,44.0,55.0,,,,,14.0,2.0,,1.0,Active
13122125,2016,SPAIN,SENIOR MANAGER,Less than $20m,0 - 10 employees,Corporate,,9.0,,,,200.64,142.12,171.38,,,,8.0,27.0,108.0,,4.0,Active
13179771,2016,UNITED KINGDOM,HEAD OF FUNCTION,$50-$100m,100 - 500 employees,Corporate,,9.0,,,,62.7,41.8,52.25,,,,1.0,,8.0,,1.0,Active
13233695,2016,UNITED KINGDOM,HEAD OF FUNCTION,$20-$50m,51 - 100 employees,Research,,,,,,66.0,44.0,,,,,22.0,16.0,,,1.0,Active
13287034,2016,IRELAND,BOARD DIRECTOR,$20-$50m,51 - 100 employees,Academic,,8.0,,,,62.7,41.8,52.25,,,,5.0,4.0,6.0,,1.0,Active
13326465,2016,IRELAND,SENIOR MANAGER,Less than $20m,0 - 10 employees,Corporate,,9.0,,,,62.7,41.8,52.25,,,,26.0,6.0,8.0,,1.0,Active
13416546,2016,FRANCE,SENIOR MANAGER,$20-$50m,51 - 100 employees,Corporate,,,,,,,220.0,,,,,,225.0,,,5.0,Active
13419904,2016,UNITED KINGDOM,MANAGER,$50-$100m,51 - 100 employees,Research,,,,,,,,180.4,,,,,,8.0,,4.0,Active
13497987,2016,FRANCE,MANAGER,$1bn+,1001 - 5000 employees,Corporate,,,,,,,83.6,,,,,,10.0,,,2.0,Active
13506255,2016,UNITED STATES,MANAGER,$500m-$1bn,1001 - 5000 employees,Corporate,,,,,,62.7,41.8,52.25,,,,,,1.0,,1.0,Active
13545236,2016,UNITED KINGDOM,HEAD OF FUNCTION,$50-$100m,100 - 500 employees,Research,,,,,,275.88,200.64,238.26,,,,223.0,2.0,2.0,,6.0,Active
13611235,2016,FRANCE,DIRECTOR OF FUNCTION,$100-$500m,501 - 1000 employees,Corporate,,,,,,66.0,,,,,,22.0,,,,1.0,Active
13655835,2016,UNITED KINGDOM,SENIOR MANAGER,$500m-$1bn,501 - 1000 employees,Academic,,,,,,62.7,41.8,52.25,,,,7.0,8.0,10.0,,1.0,Active
13685809,2016,NETHERLANDS,SENIOR MANAGER,$50-$100m,51 - 100 employees,Corporate,,,,,,62.7,41.8,52.25,,,,5.0,1.0,,,1.0,Active
13694332,2016,UNITED KINGDOM,SENIOR MANAGER,$50-$100m,100 - 500 employees,Research,,,,,,330.0,,275.0,,,,180.0,,39.0,,5.0,Active
13697983,2016,GERMANY,HEAD OF FUNCTION,$50-$100m,100 - 500 employees,Academic,,,,,,62.7,41.8,52.25,,,,2.0,,,,1.0,Active
13700160,2016,UNITED STATES,HEAD OF FUNCTION,$1bn+,1001 - 5000 employees,Research,,10.0,,,,62.7,41.8,52.25,,,,1.0,15.0,,,1.0,Active
13759982,2016,RUSSIA,DIRECTOR OF FUNCTION,$20-$50m,11 - 50 employees,Corporate,,,,,,,83.6,103.4,,,,,10.0,43.0,,2.0,Active
13855645,2016,UNITED STATES,DIRECTOR OF FUNCTION,$500m-$1bn,1001 - 5000 employees,Research,,,,,,330.0,,,,,,5.0,,,,5.0,Active
13985057,2016,NETHERLANDS,HEAD OF FUNCTION,$20-$50m,11 - 50 employees,Academic,,7.0,,,,,44.0,,,,,,31.0,,,1.0,Active
14009699,2016,NETHERLANDS,BOARD DIRECTOR,$100-$500m,501 - 1000 employees,Research,,,,,,66.0,,55.0,,,,,,3.0,,1.0,Active
14050612,2016,SPAIN,BOARD DIRECTOR,$50-$100m,100 - 500 employees,Academic,,6.0,,,,275.88,200.64,238.26,,,,4.0,6.0,,,6.0,Active
14073647,2016,FRANCE,DIRECTOR OF FUNCTION,$500m-$1bn,501 - 1000 employees,Research,,,,,,62.7,41.8,52.25,,,,,,,,1.0,Active
14090683,2016,IRELAND,MANAGER,$100-$500m,100 - 500 employees,Research,,8.0,,,,275.88,200.64,238.26,,,,25.0,52.0,72.0,,6.0,Active
14098105,2016,NETHERLANDS,SENIOR MANAGER,$500m-$1bn,501 - 1000 employees,Research,,,,,,66.0,,55.0,,,,11.0,,5.0,,1.0,Active
14104945,2016,GERMANY,BOARD DIRECTOR,$20-$50m,11 - 50 employees,Research,,,,,,200.64,142.12,171.38,,,,16.0,1.0,14.0,,4.0,Active
14111211,2016,FRANCE,DIRECTOR OF FUNCTION,Less than $20m,11 - 50 employees,Academic,,,,,,200.64,142.12,171.38,,,,6.0,,,,4.0,Active
14128935,2016,SPAIN,BOARD DIRECTOR,$100-$500m,100 - 500 employees,Academic,,,,,,62.7,41.8,52.25,,,,10.0,6.0,,,1.0,Active
14156380,2016,NETHERLANDS,BOARD DIRECTOR,$20-$50m,11 - 50 employees,Corporate,,,,,,,149.6,,,,,,40.0,,,4.0,Active
14189479,2016,UNITED KINGDOM,MANAGER,$1bn+,1001 - 5000 employees,Corporate,,,,,,,,55.0,,,,,,16.0,,1.0,Active
14202317,2016,IRELAND,BOARD DIRECTOR,$20-$50m,51 - 100 employees,Research,,,,,,,44.0,,,,,,42.0,,,1.0,Active
14233735,2016,UNITED KINGDOM,BOARD DIRECTOR,$500m-$1bn,1001 - 5000 employees,Academic,,,,,,275.88,200.64,238.26,,,,8.0,20.0,144.0,,6.0,Active
14238653,2016,SPAIN,HEAD OF FUNCTION,$20-$50m,51 - 100 employees,Research,,,,,,,,55.0,,,,,,11.0,,1.0,Active
14246358,2016,UNITED STATES,MANAGER,$500m-$1bn,1001 - 5000 employees,Academic,,,,,,62.7,41.8,52.25,,,,9.0,12.0,15.0,,1.0,Active
14247740,2016,NETHERLANDS,DIRECTOR OF FUNCTION,$1bn+,1001 - 5000 employees,Corporate,,,,,,,44.0,55.0,,,,,4.0,9.0,,1.0,Active
14282909,2016,GERMANY,BOARD DIRECTOR,Less than $20m,0 - 10 employees,Corporate,,,,,,,,55.0,,,,,,40.0,,1.0,Active
14298793,2016,GERMANY,MANAGER,$1bn+,1001 - 5000 employees,Academic,,,,,,66.0,,55.0,,,,39.0,,3.0,,1.0,Active
14353810,2016,GERMANY,DIRECTOR OF FUNCTION,$500m-$1bn,1001 - 5000 employees,Corporate,,9.0,,,,,,55.0,,,,,,37.0,,1.0,Active
14370676,2016,IRELAND,HEAD OF FUNCTION,$500m-$1bn,1001 - 5000 employees,Corporate,,,,,,117.04,79.42,98.23,,,,14.0,8.0,25.0,,2.0,Active
14486611,2016,FRANCE,SENIOR MANAGER,$1bn+,1001 - 5000 employees,Corporate,,,,,,,149.6,180.4,,,,,,3.0,,4.0,Active
14539024,2016,FRANCE,BOARD DIRECTOR,$1bn+,5000+ employees,Research,,10.0,,,,,44.0,,,,,,41.0,,,1.0,Active
14624389,2016,GERMANY,BOARD DIRECTOR,Less than $20m,0 - 10 employees,Corporate,,,,,,,,275.0,,,,,,215.0,,5.0,Active
14628293,2016,NETHERLANDS,SENIOR MANAGER,$50-$100m,100 - 500 employees,Research,,,,,,66.0,,55.0,,,,3.0,,,,1.0,Active
14667675,2016,NETHERLANDS,HEAD OF FUNCTION,$100-$500m,100 - 500 employees,Academic,,,,,,62.7,41.8,52.25,,,,22.0,6.0,5.0,,1.0,Active
14691264,2016,RUSSIA,MANAGER,$50-$100m,51 - 100 employees,Academic,,,,,,,44.0,55.0,,,,,22.0,6.0,,1.0,Active
14725778,2016,UNITED KINGDOM,BOARD DIRECTOR,$20-$50m,51 - 100 employees,Corporate,,,,,,200.64,142.12,171.38,,,,,,,,4.0,Active
14780537,2016,GERMANY,DIRECTOR OF FUNCTION,$500m-$1bn,1001 - 5000 employees,Academic,,,,,,275.88,200.64,238.26,,,,16.0,65.0,152.0,,6.0,Active
14784888,2016,UNITED KINGDOM,SENIOR MANAGER,$20-$50m,51 - 100 employees,Research,,,,,,66.0,,55.0,,,,13.0,,8.0,,1.0,Active
14785726,2016,RUSSIA,SENIOR MANAGER,$100-$500m,501 - 1000 employees,Corporate,,,,,,,220.0,275.0,,,,,13.0,26.0,,5.0,Active
14789391,2016,UNITED STATES,BOARD DIRECTOR,Less than $20m,11 - 50 employees,Corporate,,,,,,330.0,,275.0,,,,102.0,,102.0,,5.0,Active
14797899,2016,FRANCE,SENIOR MANAGER,$50-$100m,51 - 100 employees,Academic,,,,,,,,55.0,,,,,,42.0,,1.0,Active
14802716,2016,UNITED STATES,BOARD DIRECTOR,$20-$50m,51 - 100 employees,Corporate,,,,,,,,250.8,,,,,,198.0,,6.0,Active
14814004,2016,UNITED KINGDOM,HEAD OF FUNCTION,$1bn+,1001 - 5000 employees,Corporate,,,,,,66.0,44.0,,,,,3.0,10.0,,,1.0,Active
14829521,2016,SPAIN,HEAD OF FUNCTION,$20-$50m,11 - 50 employees,Corporate,,,,,,,44.0,55.0,,,,,16.0,4.0,,1.0,Active
14830238,2016,UNITED STATES,SENIOR MANAGER,$1bn+,5000+ employees,Academic,,,,,,,44.0,55.0,,,,,,22.0,,1.0,Active
14860080,2016,IRELAND,SENIOR MANAGER,$500m-$1bn,501 - 1000 employees,Academic,,,,,,200.64,142.12,171.38,,,,91.0,5.0,75.0,,4.0,Active
14882001,2016,UNITED STATES,MANAGER,$1bn+,5000+ employees,Corporate,,,,,,62.7,41.8,52.25,,,,3.0,1.0,19.0,,1.0,Active
14935296,2016,SPAIN,HEAD OF FUNCTION,$100-$500m,100 - 500 employees,Academic,,10.0,,,,62.7,41.8,52.25,,,,24.0,5.0,1.0,,1.0,Active
