ACCT_ID,MEDICAL_REVENUE_2015,SCIENTIFIC_REVENUE_2015,TECHNICAL_REVENUE_2015,MEDICAL_REVENUE_2016,SCIENTIFIC_REVENUE_2016,TECHNICAL_REVENUE_2016
10660929,273,182,227.5,286.65,191.1,238.88
10663409,NA,NA,NA,313.5,209,261.25
10664425,57,38,47.5,59.85,39.9,49.88
10675173,NA,NA,NA,NA,NA,275
10688483,NA,NA,NA,313.5,209,261.25
10691131,NA,NA,NA,NA,NA,250.8
10714427,237.6,172.8,205.2,249.48,181.44,215.46
10721000,NA,NA,NA,NA,211.2,NA
10727571,NA,NA,NA,117.04,79.42,98.23
10731463,NA,NA,NA,275.88,200.64,238.26
10754124,NA,NA,NA,62.7,41.8,52.25
10756486,60,NA,50,NA,113.4,NA
10770373,57,38,47.5,59.85,39.9,49.88
10773598,237.6,172.8,205.2,249.48,181.44,215.46
10776222,NA,NA,NA,NA,211.2,NA
10784433,60,NA,50,163.8,NA,NA
10799961,60,NA,NA,NA,NA,NA
10814539,237.6,172.8,205.2,249.48,181.44,215.46
10818064,57,38,47.5,163.8,113.4,NA
10823393,57,38,47.5,NA,42,52.5
10827364,57,38,47.5,NA,NA,NA
10836382,57,38,47.5,NA,NA,NA
10849085,264,NA,228,NA,201.6,NA
10851090,57,38,47.5,63,NA,52.5
10880573,60,40,NA,NA,NA,NA
10884456,60,NA,50,NA,42,NA
10896501,NA,NA,NA,66,NA,55
10906971,60,NA,50,NA,NA,138.6
10910366,192,NA,164,277.2,NA,NA
10961362,60,NA,NA,NA,NA,NA
10966877,NA,NA,NA,275.88,200.64,238.26
10974288,60,40,NA,NA,NA,NA
10986290,NA,NA,NA,62.7,41.8,52.25
10992575,NA,NA,50,63,NA,NA
11001257,NA,192,228,NA,201.6,239.4
11009079,112,NA,NA,NA,NA,NA
11009367,NA,NA,NA,NA,NA,55
11020575,NA,136,164,201.6,NA,172.2
11030401,57,38,47.5,163.8,113.4,NA
11030897,57,38,47.5,111.72,75.81,93.77
11033316,57,38,47.5,155.61,107.73,131.67
11043561,60,NA,50,163.8,113.4,NA
11045141,NA,NA,NA,117.04,79.42,98.23
11057323,176.64,125.12,150.88,185.47,131.38,158.42
11059610,NA,NA,NA,66,NA,55
11059916,57,38,47.5,NA,79.8,98.7
11061686,57,38,47.5,NA,NA,NA
11070461,60,NA,50,NA,NA,NA
11079375,60,NA,50,NA,NA,98.7
11085069,60,NA,50,63,NA,52.5
11108050,57,38,47.5,155.61,107.73,131.67
11114455,NA,NA,NA,290.4,NA,250.8
11121576,57,38,47.5,NA,NA,NA
11122002,105.28,71.44,88.36,110.54,75.01,92.78
11140367,NA,NA,NA,NA,211.2,NA
11143927,NA,NA,NA,NA,211.2,NA
11155717,NA,NA,50,NA,NA,NA
11172054,105.28,71.44,88.36,NA,NA,NA
11190265,NA,40,50,NA,NA,NA
11190602,112,NA,94,NA,142.8,NA
11194404,NA,NA,NA,66,NA,55
11194606,300,NA,250,315,NA,262.5
11219368,NA,NA,NA,NA,44,NA
11221015,60,NA,NA,NA,NA,NA
11236234,60,NA,NA,NA,NA,NA
11251679,57,38,47.5,NA,113.4,138.6
11252198,60,NA,50,117.6,NA,98.7
11252909,NA,NA,NA,62.7,41.8,52.25
11254225,105.28,71.44,88.36,117.6,NA,98.7
11254516,60,NA,NA,63,NA,NA
11257056,264,NA,228,NA,201.6,NA
11293292,57,38,47.5,NA,113.4,138.6
11296397,57,38,47.5,NA,NA,NA
11304786,NA,NA,164,NA,210,NA
11325830,105.28,71.44,88.36,NA,NA,NA
11332140,NA,NA,NA,66,NA,NA
11333327,NA,200,250,NA,NA,NA
11340746,57,38,47.5,155.61,107.73,131.67
11342562,237.6,172.8,205.2,249.48,181.44,215.46
11346156,176.64,125.12,150.88,NA,210,262.5
11348550,NA,NA,50,NA,NA,NA
11367956,57,38,47.5,59.85,39.9,49.88
11372848,57,38,47.5,NA,NA,NA
11385340,57,38,47.5,111.72,75.81,93.77
11399493,57,38,47.5,NA,NA,NA
11406891,60,NA,50,NA,79.8,NA
11411461,105.28,71.44,88.36,189.5,134.23,161.87
11412385,NA,200,250,NA,201.6,NA
11429149,NA,NA,NA,62.7,41.8,52.25
11438822,60,NA,50,NA,42,NA
11446218,264,192,NA,NA,201.6,NA
11450297,176.64,125.12,150.88,185.47,131.38,158.42
11476849,NA,NA,NA,62.7,41.8,52.25
11482603,273,182,227.5,252.25,183.46,217.85
11492934,60,NA,NA,NA,NA,98.7
11496655,57,38,47.5,117.6,NA,98.7
11510455,NA,NA,NA,123.2,NA,NA
11525684,57,38,47.5,NA,NA,NA
11529242,NA,NA,NA,290.4,211.2,NA
11538412,NA,NA,NA,211.2,NA,180.4
11546864,57,38,47.5,59.85,39.9,49.88
11549758,NA,NA,NA,66,44,NA
11558597,57,38,47.5,111.72,75.81,93.77
11565024,60,NA,NA,163.8,NA,NA
11573073,NA,NA,NA,NA,44,NA
11573332,NA,NA,NA,62.7,41.8,52.25
11582869,300,NA,250,315,210,NA
11597306,57,38,47.5,NA,NA,NA
11609750,60,NA,NA,NA,42,NA
11611997,NA,NA,NA,62.7,41.8,52.25
11614512,60,NA,50,NA,79.8,98.7
11623242,60,NA,NA,NA,79.8,NA
11636051,57,38,47.5,117.6,NA,98.7
11640708,NA,NA,NA,62.7,41.8,52.25
11642152,57,38,47.5,163.8,NA,138.6
11642376,60,NA,50,NA,113.4,NA
11643241,300,200,NA,277.2,201.6,NA
11652380,NA,NA,NA,290.4,NA,250.8
11674464,264,NA,228,277.2,NA,239.4
11680474,NA,NA,NA,NA,NA,145.2
11693003,NA,NA,250,315,NA,NA
11693392,264,NA,228,NA,NA,239.4
11715161,112,NA,NA,NA,NA,138.6
11742685,NA,NA,NA,NA,NA,55
11748539,237.6,172.8,205.2,277.2,NA,239.4
11752660,145.08,100.44,122.76,NA,NA,NA
11759191,NA,NA,NA,NA,NA,55
11787245,264,NA,228,277.2,NA,NA
11791390,57,38,47.5,163.8,NA,138.6
11799276,60,NA,NA,NA,NA,NA
11808192,57,38,47.5,163.8,NA,138.6
11815696,105.28,71.44,88.36,117.6,79.8,NA
11816280,237.6,172.8,205.2,249.48,181.44,215.46
11850091,264,NA,228,277.2,NA,239.4
11854641,57,38,47.5,NA,42,52.5
11861067,57,38,47.5,NA,NA,NA
11876830,NA,NA,NA,123.2,NA,103.4
11876949,NA,NA,NA,NA,149.6,180.4
11877716,57,38,47.5,117.6,NA,98.7
11882291,NA,NA,NA,62.7,41.8,52.25
11886664,60,NA,NA,NA,79.8,NA
11888123,60,NA,50,NA,113.4,NA
11898007,NA,NA,NA,NA,118.8,145.2
11924968,NA,NA,NA,66,NA,55
11926826,NA,NA,NA,NA,NA,55
11927402,145.08,100.44,122.76,201.6,NA,172.2
11928629,192,NA,164,NA,201.6,239.4
11942051,NA,NA,132,NA,210,NA
11944400,NA,NA,NA,62.7,41.8,52.25
11947956,57,38,47.5,59.85,39.9,49.88
11956706,192,136,NA,201.6,NA,172.2
11960216,60,NA,50,63,NA,52.5
11962651,NA,200,250,NA,NA,NA
11965376,NA,NA,NA,NA,44,NA
11972394,NA,NA,NA,117.04,79.42,98.23
11978703,NA,NA,NA,NA,44,NA
11981171,57,38,47.5,163.8,113.4,NA
11993627,264,192,NA,277.2,NA,NA
11994453,NA,NA,NA,330,NA,275
11999728,60,NA,50,63,42,NA
12003284,60,40,NA,NA,NA,NA
12012109,57,38,47.5,117.6,NA,98.7
12017826,57,38,47.5,NA,NA,NA
12018104,60,NA,50,117.6,NA,NA
12029398,NA,NA,NA,62.7,41.8,52.25
12036113,NA,136,164,201.6,NA,NA
12067939,57,38,47.5,NA,79.8,98.7
12096305,60,NA,50,117.6,NA,98.7
12097511,57,38,47.5,117.6,NA,98.7
12115468,NA,NA,NA,275.88,200.64,238.26
12123720,NA,NA,NA,NA,220,NA
12127889,NA,192,228,NA,201.6,NA
12129427,NA,NA,50,NA,NA,NA
12132614,60,NA,50,NA,NA,98.7
12135064,57,38,47.5,163.8,113.4,NA
12137254,57,38,47.5,NA,NA,NA
12144724,60,NA,50,NA,NA,98.7
12146642,145.08,100.44,122.76,NA,NA,NA
12176118,60,NA,50,117.6,NA,98.7
12183888,60,40,NA,NA,NA,NA
12195320,60,NA,50,117.6,NA,98.7
12197126,NA,NA,NA,117.04,79.42,98.23
12206240,300,NA,250,NA,NA,262.5
12213066,NA,NA,NA,NA,44,NA
12232195,60,NA,50,163.8,NA,138.6
12235307,60,NA,50,NA,NA,NA
12239181,192,136,NA,NA,210,NA
12272219,237.6,172.8,205.2,249.48,181.44,215.46
12275634,237.6,172.8,205.2,277.2,NA,239.4
12278698,112,NA,94,NA,79.8,NA
12283945,NA,NA,NA,200.64,142.12,171.38
12287686,57,38,47.5,NA,NA,NA
12289633,57,38,47.5,NA,NA,NA
12298231,264,NA,228,277.2,NA,239.4
12304211,300,NA,250,277.2,NA,239.4
12311556,60,NA,50,63,42,NA
12323344,57,38,47.5,NA,79.8,98.7
12323929,57,38,47.5,NA,NA,NA
12326018,237.6,172.8,205.2,249.48,181.44,215.46
12331306,NA,NA,NA,62.7,41.8,52.25
12332863,105.28,71.44,88.36,189.5,134.23,161.87
12354028,NA,NA,NA,66,NA,NA
12360037,60,NA,50,63,NA,52.5
12373375,145.08,100.44,122.76,187.49,132.8,160.15
12392667,NA,NA,NA,62.7,41.8,52.25
12394593,176.64,125.12,150.88,315,NA,262.5
12409917,NA,NA,NA,66,NA,55
12418772,60,NA,NA,NA,113.4,NA
12422215,273,182,227.5,277.2,201.6,NA
12448694,NA,NA,NA,163.02,112.86,137.94
12450367,60,NA,50,NA,79.8,98.7
12452761,57,38,47.5,111.72,75.81,93.77
12453471,57,38,47.5,59.85,39.9,49.88
12471470,300,200,NA,277.2,NA,239.4
12472999,57,38,47.5,NA,79.8,98.7
12475441,NA,NA,NA,62.7,41.8,52.25
12487626,NA,NA,50,117.6,NA,NA
12488108,60,NA,50,117.6,NA,NA
12491085,NA,NA,NA,62.7,41.8,52.25
12499169,264,NA,NA,NA,201.6,NA
12503441,60,NA,50,63,NA,NA
12516122,60,NA,50,163.8,113.4,NA
12524563,300,NA,250,315,NA,262.5
12526876,105.28,71.44,88.36,NA,142.8,172.2
12562484,264,192,NA,277.2,NA,NA
12570941,237.6,172.8,205.2,249.48,181.44,215.46
12572412,NA,NA,NA,NA,220,NA
12582005,264,NA,228,NA,201.6,NA
12582842,NA,NA,NA,117.04,79.42,98.23
12586151,57,38,47.5,NA,NA,NA
12599351,273,182,227.5,286.65,191.1,238.88
12606235,NA,NA,NA,NA,NA,55
12612450,57,38,47.5,NA,NA,NA
12624788,NA,NA,NA,290.4,NA,250.8
12625430,NA,NA,NA,66,NA,NA
12639533,237.6,172.8,205.2,249.48,181.44,215.46
12643098,57,38,47.5,59.85,39.9,49.88
12646740,60,NA,NA,NA,NA,NA
12650536,NA,NA,NA,200.64,142.12,171.38
12652202,NA,NA,NA,211.2,NA,180.4
12654699,NA,NA,50,NA,NA,NA
12661529,NA,NA,NA,275.88,200.64,238.26
12663745,237.6,172.8,205.2,249.48,181.44,215.46
12666650,NA,NA,50,NA,113.4,NA
12678259,60,NA,50,NA,NA,NA
12695944,176.64,125.12,150.88,185.47,131.38,158.42
12700300,57,38,47.5,NA,NA,NA
12702804,192,NA,164,NA,201.6,NA
12706726,NA,NA,NA,163.02,112.86,137.94
12722115,192,NA,164,NA,NA,239.4
12734035,NA,NA,NA,275.88,200.64,238.26
12735447,60,NA,50,NA,NA,52.5
12743204,57,38,47.5,NA,79.8,98.7
12757618,60,NA,50,163.8,NA,NA
12767766,57,38,47.5,NA,NA,NA
12769684,57,38,47.5,NA,NA,NA
12785881,60,NA,50,63,NA,52.5
12797418,NA,NA,NA,66,NA,55
12820592,156,108,NA,NA,NA,NA
12847362,105.28,71.44,88.36,153.97,106.6,130.28
12851873,NA,NA,NA,NA,44,NA
12852584,NA,NA,NA,NA,149.6,NA
12860000,57,38,47.5,NA,NA,NA
12865482,NA,NA,228,NA,201.6,NA
12865903,NA,NA,NA,NA,44,NA
12868232,57,38,47.5,59.85,39.9,49.88
12888686,NA,NA,NA,66,44,NA
12907415,NA,NA,NA,275.88,200.64,238.26
12921731,60,NA,50,NA,79.8,NA
12937727,237.6,172.8,205.2,249.48,181.44,215.46
12939149,NA,40,50,NA,NA,NA
12946550,NA,NA,NA,NA,44,55
12948135,NA,NA,NA,62.7,41.8,52.25
12959055,NA,NA,NA,NA,44,NA
12977649,NA,NA,NA,163.02,112.86,137.94
12982263,105.28,71.44,88.36,NA,142.8,172.2
12984060,57,38,47.5,NA,NA,NA
13018790,57,38,47.5,111.72,75.81,93.77
13020358,60,40,NA,NA,NA,NA
13021022,60,NA,NA,NA,NA,NA
13021817,NA,136,164,NA,210,NA
13021899,60,NA,50,163.8,113.4,NA
13031341,57,38,47.5,NA,42,52.5
13033070,NA,40,50,NA,NA,NA
13038505,NA,NA,NA,NA,44,55
13058806,NA,NA,NA,NA,44,55
13059239,300,NA,250,NA,201.6,239.4
13077932,NA,NA,NA,62.7,41.8,52.25
13083220,105.28,71.44,88.36,NA,NA,NA
13095522,300,NA,NA,NA,210,NA
13096458,273,182,227.5,252.25,183.46,217.85
13101093,NA,NA,NA,NA,44,55
13110379,60,NA,50,NA,NA,98.7
13118629,105.28,71.44,88.36,153.97,106.6,130.28
13122125,NA,NA,NA,200.64,142.12,171.38
13146758,300,200,NA,NA,NA,NA
13168955,60,40,NA,NA,NA,NA
13170223,57,38,47.5,NA,NA,NA
13170916,57,38,47.5,NA,113.4,138.6
13175276,57,38,47.5,63,NA,52.5
13177760,57,38,47.5,117.6,NA,98.7
13179771,NA,NA,NA,62.7,41.8,52.25
13184267,57,38,47.5,NA,NA,NA
13216722,57,38,47.5,63,NA,52.5
13218512,NA,NA,228,277.2,NA,NA
13228747,176.64,125.12,150.88,NA,NA,NA
13233695,NA,NA,NA,66,44,NA
13252249,156,108,NA,NA,NA,NA
13263545,57,38,47.5,155.61,107.73,131.67
13266569,57,38,47.5,NA,NA,NA
13272670,57,38,47.5,59.85,39.9,49.88
13280747,57,38,47.5,117.6,NA,98.7
13282130,105.28,71.44,88.36,NA,113.4,138.6
13287034,NA,NA,NA,62.7,41.8,52.25
13289405,57,38,47.5,117.6,NA,98.7
13326465,NA,NA,NA,62.7,41.8,52.25
13342227,57,38,47.5,NA,NA,NA
13356813,60,NA,50,117.6,NA,98.7
13405426,60,NA,NA,117.6,NA,NA
13408236,264,NA,228,NA,201.6,239.4
13416546,NA,NA,NA,NA,220,NA
13419904,NA,NA,NA,NA,NA,180.4
13423650,192,NA,164,NA,210,NA
13424534,NA,NA,164,315,NA,NA
13469725,300,NA,250,277.2,NA,239.4
13470350,NA,NA,50,NA,113.4,NA
13485559,60,NA,50,NA,NA,138.6
13497987,NA,NA,NA,NA,83.6,NA
13506255,NA,NA,NA,62.7,41.8,52.25
13512955,60,40,NA,NA,NA,NA
13517518,NA,NA,50,NA,NA,NA
13528413,NA,NA,164,315,NA,NA
13529175,57,38,47.5,155.61,107.73,131.67
13545236,NA,NA,NA,275.88,200.64,238.26
13578965,264,NA,NA,NA,201.6,NA
13611235,NA,NA,NA,66,NA,NA
13615233,57,38,47.5,111.72,75.81,93.77
13630619,237.6,172.8,205.2,249.48,181.44,215.46
13642110,273,182,227.5,NA,NA,NA
13655835,NA,NA,NA,62.7,41.8,52.25
13671363,57,38,47.5,63,NA,52.5
13673176,300,NA,NA,NA,210,NA
13685809,NA,NA,NA,62.7,41.8,52.25
13694332,NA,NA,NA,330,NA,275
13694803,237.6,172.8,205.2,277.2,NA,239.4
13697983,NA,NA,NA,62.7,41.8,52.25
13700160,NA,NA,NA,62.7,41.8,52.25
13722223,60,40,NA,NA,NA,NA
13726750,145.08,100.44,122.76,292.95,195.3,244.13
13737316,NA,NA,228,NA,201.6,NA
13744532,112,NA,94,NA,NA,172.2
13759982,NA,NA,NA,NA,83.6,103.4
13785567,176.64,125.12,150.88,255.02,185.47,220.25
13791023,NA,NA,132,NA,NA,NA
13793252,112,NA,NA,NA,113.4,NA
13797632,57,38,47.5,155.61,107.73,131.67
13800157,57,38,47.5,NA,42,52.5
13846060,57,38,47.5,155.61,107.73,131.67
13846568,57,38,47.5,NA,79.8,98.7
13855645,NA,NA,NA,330,NA,NA
13857403,NA,40,50,NA,NA,NA
13859358,300,NA,NA,NA,NA,239.4
13861751,60,NA,50,117.6,NA,NA
13881688,57,38,47.5,NA,NA,NA
13893451,237.6,172.8,205.2,249.48,181.44,215.46
13932887,273,182,227.5,252.25,183.46,217.85
13942730,237.6,172.8,205.2,249.48,181.44,215.46
13942781,57,38,47.5,NA,NA,NA
13958719,60,NA,50,NA,42,52.5
13972498,NA,NA,50,NA,NA,NA
13985057,NA,NA,NA,NA,44,NA
13987313,57,38,47.5,59.85,39.9,49.88
14000951,57,38,47.5,59.85,39.9,49.88
14005791,60,NA,NA,NA,NA,NA
14008984,105.28,71.44,88.36,NA,NA,NA
14009699,NA,NA,NA,66,NA,55
14017968,300,NA,250,NA,210,262.5
14017990,57,38,47.5,NA,113.4,138.6
14029479,57,38,47.5,163.8,113.4,NA
14050612,NA,NA,NA,275.88,200.64,238.26
14068110,60,NA,50,63,NA,52.5
14073647,NA,NA,NA,62.7,41.8,52.25
14090683,NA,NA,NA,275.88,200.64,238.26
14098105,NA,NA,NA,66,NA,55
14103358,60,NA,NA,117.6,NA,NA
14104945,NA,NA,NA,200.64,142.12,171.38
14111211,NA,NA,NA,200.64,142.12,171.38
14128935,NA,NA,NA,62.7,41.8,52.25
14135044,57,38,47.5,111.72,75.81,93.77
14153316,60,NA,50,NA,42,NA
14156380,NA,NA,NA,NA,149.6,NA
14165490,237.6,172.8,205.2,249.48,181.44,215.46
14175204,60,NA,50,NA,79.8,NA
14177879,300,NA,NA,277.2,NA,NA
14178878,NA,200,250,NA,210,NA
14189479,NA,NA,NA,NA,NA,55
14196538,NA,76,94,NA,NA,NA
14202317,NA,NA,NA,NA,44,NA
14222799,NA,40,50,NA,NA,NA
14233735,NA,NA,NA,275.88,200.64,238.26
14238653,NA,NA,NA,NA,NA,55
14240249,57,38,47.5,163.8,NA,138.6
14246111,NA,NA,50,NA,NA,52.5
14246358,NA,NA,NA,62.7,41.8,52.25
14247740,NA,NA,NA,NA,44,55
14264637,NA,NA,50,63,NA,NA
14268191,57,38,47.5,63,NA,52.5
14282909,NA,NA,NA,NA,NA,55
14283860,300,NA,NA,NA,201.6,NA
14285828,57,38,47.5,NA,NA,NA
14286487,57,38,47.5,63,42,NA
14291260,NA,192,228,NA,201.6,NA
14292190,57,38,47.5,163.8,NA,138.6
14298793,NA,NA,NA,66,NA,55
14301090,60,NA,50,163.8,113.4,NA
14327175,57,38,47.5,117.6,79.8,NA
14333089,273,182,227.5,NA,NA,NA
14353810,NA,NA,NA,NA,NA,55
14356120,57,38,47.5,117.6,NA,98.7
14370676,NA,NA,NA,117.04,79.42,98.23
14385344,NA,76,94,NA,NA,NA
14392114,237.6,172.8,205.2,277.2,201.6,NA
14399877,300,NA,250,315,NA,262.5
14418936,57,38,47.5,163.8,113.4,NA
14429337,NA,NA,228,277.2,NA,NA
14441682,60,NA,50,NA,42,52.5
14454479,NA,200,250,NA,201.6,NA
14464372,57,38,47.5,59.85,39.9,49.88
14486611,NA,NA,NA,NA,149.6,180.4
14492570,60,NA,50,117.6,NA,NA
14533582,NA,NA,50,NA,113.4,NA
14533708,192,NA,164,NA,NA,239.4
14539024,NA,NA,NA,NA,44,NA
14546590,105.28,71.44,88.36,153.97,106.6,130.28
14564857,264,NA,228,277.2,NA,239.4
14589994,264,NA,228,NA,201.6,239.4
14612497,57,38,47.5,155.61,107.73,131.67
14624389,NA,NA,NA,NA,NA,275
14624900,156,NA,NA,NA,NA,138.6
14625436,273,182,227.5,286.65,191.1,238.88
14628293,NA,NA,NA,66,NA,55
14633993,NA,136,164,NA,NA,172.2
14667675,NA,NA,NA,62.7,41.8,52.25
14671643,60,NA,NA,NA,NA,NA
14675720,112,NA,94,NA,142.8,172.2
14678741,60,NA,50,NA,NA,NA
14681160,237.6,172.8,205.2,277.2,NA,239.4
14691264,NA,NA,NA,NA,44,55
14696653,NA,NA,164,NA,NA,NA
14704234,273,182,227.5,252.25,183.46,217.85
14712086,145.08,100.44,122.76,292.95,195.3,244.13
14717927,60,NA,NA,NA,NA,NA
14718958,60,NA,NA,NA,NA,NA
14725778,NA,NA,NA,200.64,142.12,171.38
14726833,57,38,47.5,59.85,39.9,49.88
14736809,57,38,47.5,NA,113.4,138.6
14750595,57,38,47.5,NA,42,52.5
14750993,112,NA,94,117.6,NA,NA
14754890,57,38,47.5,117.6,NA,98.7
14767218,60,40,NA,NA,NA,NA
14768372,176.64,125.12,150.88,255.02,185.47,220.25
14780537,NA,NA,NA,275.88,200.64,238.26
14784888,NA,NA,NA,66,NA,55
14784912,60,NA,50,NA,42,52.5
14785726,NA,NA,NA,NA,220,275
14789391,NA,NA,NA,330,NA,275
14795419,57,38,47.5,NA,NA,NA
14797899,NA,NA,NA,NA,NA,55
14802716,NA,NA,NA,NA,NA,250.8
14814004,NA,NA,NA,66,44,NA
14821786,60,NA,50,NA,42,52.5
14823685,57,38,47.5,155.61,107.73,131.67
14826127,NA,108,132,NA,NA,NA
14827199,60,NA,50,NA,113.4,NA
14829521,NA,NA,NA,NA,44,55
14830238,NA,NA,NA,NA,44,55
14855191,176.64,125.12,150.88,NA,142.8,172.2
14856998,60,NA,50,NA,79.8,NA
14860080,NA,NA,NA,200.64,142.12,171.38
14860810,112,NA,94,NA,113.4,NA
14871907,NA,NA,50,NA,113.4,NA
14882001,NA,NA,NA,62.7,41.8,52.25
14894540,57,38,47.5,NA,NA,NA
14897456,57,38,47.5,NA,NA,NA
14904995,60,NA,50,163.8,NA,138.6
14931997,57,38,47.5,117.6,NA,98.7
14935296,NA,NA,NA,62.7,41.8,52.25
14957997,192,NA,164,NA,201.6,NA
14959538,NA,NA,NA,211.2,NA,180.4
14960489,60,NA,50,63,42,NA
14963461,NA,NA,NA,62.7,41.8,52.25
14963780,192,NA,164,201.6,NA,172.2
14968721,60,NA,50,163.8,NA,138.6
14990286,NA,NA,NA,NA,149.6,NA
14998045,NA,NA,NA,66,NA,55
14999442,264,NA,228,NA,NA,239.4
15001838,57,38,47.5,111.72,75.81,93.77
15008741,57,38,47.5,155.61,107.73,131.67
15016335,NA,NA,NA,66,44,NA
15046439,NA,40,50,NA,NA,NA
15064476,156,NA,132,201.6,NA,NA
15074961,57,38,47.5,111.72,75.81,93.77
15082435,NA,192,228,NA,201.6,239.4
15099303,NA,NA,94,NA,NA,NA
15103762,NA,NA,NA,NA,44,NA
15140402,NA,NA,NA,NA,149.6,180.4
15146811,NA,76,94,NA,NA,NA
15159257,NA,NA,NA,66,NA,55
15164169,237.6,172.8,205.2,249.48,181.44,215.46
15171073,60,NA,50,NA,113.4,NA
15176358,NA,NA,NA,62.7,41.8,52.25
15199397,NA,NA,NA,275.88,200.64,238.26
15205801,NA,NA,NA,211.2,NA,180.4
15218130,NA,NA,NA,171.6,NA,NA
15221044,60,NA,50,63,NA,52.5
15243656,NA,NA,NA,62.7,41.8,52.25
15286805,NA,NA,NA,NA,44,NA
15301463,NA,NA,NA,NA,149.6,NA
15305427,237.6,172.8,205.2,249.48,181.44,215.46
15310315,57,38,47.5,NA,NA,NA
15319778,273,182,227.5,277.2,NA,239.4
15330052,112,NA,NA,NA,NA,NA
15332098,60,NA,NA,NA,79.8,NA
15360370,57,38,47.5,59.85,39.9,49.88
15362642,NA,NA,NA,62.7,41.8,52.25
15375555,NA,NA,NA,163.02,112.86,137.94
15379535,237.6,172.8,205.2,249.48,181.44,215.46
15386043,NA,NA,NA,66,44,NA
15415466,264,192,NA,277.2,NA,239.4
15417505,264,NA,NA,277.2,NA,NA
15428399,NA,NA,50,NA,NA,NA
15434167,60,40,NA,NA,NA,NA
15439384,57,38,47.5,155.61,107.73,131.67
15439659,57,38,47.5,155.61,107.73,131.67
15442030,60,40,NA,NA,NA,NA
15447982,57,38,47.5,NA,NA,NA
15451946,NA,NA,NA,NA,44,55
15452945,57,38,47.5,NA,NA,NA
15462927,60,NA,50,63,NA,52.5
15465226,NA,NA,NA,NA,211.2,250.8
15485365,NA,NA,NA,NA,44,55
15513661,237.6,172.8,205.2,249.48,181.44,215.46
15515054,NA,NA,50,NA,NA,138.6
15525330,57,38,47.5,NA,NA,NA
15526776,264,NA,228,277.2,NA,239.4
15531099,145.08,100.44,122.76,NA,113.4,138.6
15534224,NA,NA,NA,62.7,41.8,52.25
