ACCT_ID,FIRST_YR_CUSTOMER,COUNTRY,ACCT_MGR_STATUS,ACCT_REVENUE_CAT,ACCT_EMPLOYEE_CAT,ACCT_TYPE
10663409,2016,NETHERLANDS,BOARD DIRECTOR,$100-$500m,100 - 500 employees,Research
10675173,2016,SPAIN,SENIOR MANAGER,$100-$500m,501 - 1000 employees,Academic
10688483,2016,UNITED STATES,SENIOR MANAGER,$100-$500m,100 - 500 employees,Academic
10691131,2016,UNITED STATES,HEAD OF FUNCTION,$1bn+,1001 - 5000 employees,Academic
10721000,2016,UNITED STATES,DIRECTOR OF FUNCTION,$1bn+,5000+ employees,Academic
10727571,2016,UNITED STATES,DIRECTOR OF FUNCTION,$1bn+,1001 - 5000 employees,Corporate
10731463,2016,RUSSIA,DIRECTOR OF FUNCTION,$100-$500m,501 - 1000 employees,Academic
10754124,2016,SPAIN,MANAGER,$500m-$1bn,501 - 1000 employees,Corporate
10776222,2016,SPAIN,DIRECTOR OF FUNCTION,$20-$50m,51 - 100 employees,Corporate
10896501,2016,SPAIN,MANAGER,$20-$50m,51 - 100 employees,Corporate
10966877,2016,RUSSIA,MANAGER,$20-$50m,11 - 50 employees,Research
10986290,2016,UNITED KINGDOM,HEAD OF FUNCTION,$100-$500m,501 - 1000 employees,Research
11009367,2016,NETHERLANDS,BOARD DIRECTOR,$20-$50m,11 - 50 employees,Research
11045141,2016,SPAIN,BOARD DIRECTOR,$50-$100m,51 - 100 employees,Academic
11059610,2016,UNITED KINGDOM,MANAGER,$50-$100m,100 - 500 employees,Research
11114455,2016,NETHERLANDS,DIRECTOR OF FUNCTION,$1bn+,1001 - 5000 employees,Academic
11140367,2016,UNITED KINGDOM,BOARD DIRECTOR,$100-$500m,100 - 500 employees,Research
11143927,2016,FRANCE,MANAGER,$1bn+,1001 - 5000 employees,Academic
11194404,2016,UNITED STATES,HEAD OF FUNCTION,$100-$500m,100 - 500 employees,Academic
11219368,2016,FRANCE,SENIOR MANAGER,Less than $20m,0 - 10 employees,Corporate
11252909,2016,NETHERLANDS,DIRECTOR OF FUNCTION,Less than $20m,11 - 50 employees,Research
11332140,2016,GERMANY,MANAGER,$1bn+,5000+ employees,Research
11429149,2016,RUSSIA,MANAGER,$20-$50m,51 - 100 employees,Academic
11476849,2016,RUSSIA,MANAGER,$20-$50m,11 - 50 employees,Research
11510455,2016,SPAIN,DIRECTOR OF FUNCTION,$20-$50m,11 - 50 employees,Corporate
11529242,2016,RUSSIA,SENIOR MANAGER,$500m-$1bn,501 - 1000 employees,Research
11538412,2016,SPAIN,HEAD OF FUNCTION,$1bn+,5000+ employees,Academic
11549758,2016,UNITED KINGDOM,SENIOR MANAGER,$50-$100m,100 - 500 employees,Research
11573073,2016,RUSSIA,MANAGER,$20-$50m,51 - 100 employees,Corporate
11573332,2016,GERMANY,SENIOR MANAGER,Less than $20m,0 - 10 employees,Corporate
11611997,2016,NETHERLANDS,BOARD DIRECTOR,$1bn+,1001 - 5000 employees,Research
11640708,2016,RUSSIA,DIRECTOR OF FUNCTION,Less than $20m,11 - 50 employees,Corporate
11652380,2016,UNITED STATES,SENIOR MANAGER,$1bn+,1001 - 5000 employees,Research
11680474,2016,GERMANY,BOARD DIRECTOR,Less than $20m,11 - 50 employees,Corporate
11742685,2016,FRANCE,HEAD OF FUNCTION,$1bn+,5000+ employees,Academic
11759191,2016,UNITED STATES,SENIOR MANAGER,$500m-$1bn,501 - 1000 employees,Corporate
11876830,2016,UNITED STATES,DIRECTOR OF FUNCTION,Less than $20m,0 - 10 employees,Academic
11876949,2016,RUSSIA,BOARD DIRECTOR,$100-$500m,100 - 500 employees,Research
11882291,2016,NETHERLANDS,DIRECTOR OF FUNCTION,$1bn+,5000+ employees,Research
11898007,2016,UNITED STATES,DIRECTOR OF FUNCTION,$20-$50m,11 - 50 employees,Corporate
11924968,2016,FRANCE,HEAD OF FUNCTION,$100-$500m,100 - 500 employees,Research
11926826,2016,RUSSIA,HEAD OF FUNCTION,Less than $20m,11 - 50 employees,Corporate
11944400,2016,UNITED STATES,SENIOR MANAGER,Less than $20m,11 - 50 employees,Research
11965376,2016,RUSSIA,MANAGER,$20-$50m,51 - 100 employees,Corporate
11972394,2016,UNITED STATES,MANAGER,$1bn+,5000+ employees,Academic
11978703,2016,SPAIN,DIRECTOR OF FUNCTION,$20-$50m,11 - 50 employees,Corporate
11994453,2016,NETHERLANDS,HEAD OF FUNCTION,$1bn+,5000+ employees,Research
12029398,2016,UNITED KINGDOM,HEAD OF FUNCTION,$500m-$1bn,501 - 1000 employees,Academic
12115468,2016,UNITED STATES,SENIOR MANAGER,$20-$50m,11 - 50 employees,Corporate
12123720,2016,UNITED STATES,HEAD OF FUNCTION,$20-$50m,11 - 50 employees,Academic
12197126,2016,IRELAND,MANAGER,$500m-$1bn,501 - 1000 employees,Academic
12213066,2016,FRANCE,DIRECTOR OF FUNCTION,$50-$100m,51 - 100 employees,Corporate
12283945,2016,UNITED STATES,MANAGER,Less than $20m,0 - 10 employees,Academic
12331306,2016,GERMANY,DIRECTOR OF FUNCTION,$20-$50m,11 - 50 employees,Research
12354028,2016,UNITED STATES,BOARD DIRECTOR,$1bn+,5000+ employees,Academic
12392667,2016,SPAIN,HEAD OF FUNCTION,$1bn+,1001 - 5000 employees,Research
12409917,2016,RUSSIA,MANAGER,$500m-$1bn,501 - 1000 employees,Research
12448694,2016,GERMANY,SENIOR MANAGER,$20-$50m,11 - 50 employees,Corporate
12475441,2016,UNITED KINGDOM,MANAGER,$1bn+,1001 - 5000 employees,Corporate
12491085,2016,RUSSIA,HEAD OF FUNCTION,$50-$100m,51 - 100 employees,Corporate
12572412,2016,UNITED KINGDOM,BOARD DIRECTOR,$500m-$1bn,501 - 1000 employees,Corporate
12582842,2016,UNITED STATES,BOARD DIRECTOR,$100-$500m,100 - 500 employees,Research
12606235,2016,SPAIN,SENIOR MANAGER,Less than $20m,0 - 10 employees,Academic
12624788,2016,NETHERLANDS,BOARD DIRECTOR,Less than $20m,11 - 50 employees,Corporate
12625430,2016,FRANCE,DIRECTOR OF FUNCTION,$50-$100m,100 - 500 employees,Academic
12650536,2016,GERMANY,HEAD OF FUNCTION,Less than $20m,0 - 10 employees,Academic
12652202,2016,FRANCE,BOARD DIRECTOR,$500m-$1bn,1001 - 5000 employees,Academic
12661529,2016,IRELAND,SENIOR MANAGER,$50-$100m,51 - 100 employees,Corporate
12706726,2016,RUSSIA,HEAD OF FUNCTION,$50-$100m,100 - 500 employees,Research
12734035,2016,UNITED STATES,MANAGER,Less than $20m,0 - 10 employees,Academic
12797418,2016,FRANCE,MANAGER,$50-$100m,100 - 500 employees,Academic
12851873,2016,SPAIN,HEAD OF FUNCTION,$20-$50m,11 - 50 employees,Research
12852584,2016,UNITED STATES,MANAGER,$20-$50m,11 - 50 employees,Research
12865903,2016,UNITED STATES,HEAD OF FUNCTION,$500m-$1bn,501 - 1000 employees,Corporate
12888686,2016,IRELAND,SENIOR MANAGER,$50-$100m,100 - 500 employees,Academic
12907415,2016,UNITED STATES,DIRECTOR OF FUNCTION,$100-$500m,501 - 1000 employees,Academic
12946550,2016,RUSSIA,SENIOR MANAGER,$500m-$1bn,501 - 1000 employees,Corporate
12948135,2016,SPAIN,SENIOR MANAGER,$50-$100m,100 - 500 employees,Academic
12959055,2016,GERMANY,MANAGER,Less than $20m,0 - 10 employees,Research
12977649,2016,UNITED STATES,HEAD OF FUNCTION,Less than $20m,0 - 10 employees,Academic
13038505,2016,BELGIUM,MANAGER,$20-$50m,11 - 50 employees,Academic
13058806,2016,BELGIUM,DIRECTOR OF FUNCTION,$100-$500m,100 - 500 employees,Research
13077932,2016,FRANCE,SENIOR MANAGER,$20-$50m,51 - 100 employees,Academic
13101093,2016,NETHERLANDS,BOARD DIRECTOR,$20-$50m,11 - 50 employees,Corporate
13122125,2016,SPAIN,SENIOR MANAGER,Less than $20m,0 - 10 employees,Corporate
13179771,2016,UNITED KINGDOM,HEAD OF FUNCTION,$50-$100m,100 - 500 employees,Corporate
13233695,2016,UNITED KINGDOM,HEAD OF FUNCTION,$20-$50m,51 - 100 employees,Research
13287034,2016,IRELAND,BOARD DIRECTOR,$20-$50m,51 - 100 employees,Academic
13326465,2016,IRELAND,SENIOR MANAGER,Less than $20m,0 - 10 employees,Corporate
13416546,2016,FRANCE,SENIOR MANAGER,$20-$50m,51 - 100 employees,Corporate
13419904,2016,UNITED KINGDOM,MANAGER,$50-$100m,51 - 100 employees,Research
13497987,2016,FRANCE,MANAGER,$1bn+,1001 - 5000 employees,Corporate
13506255,2016,UNITED STATES,MANAGER,$500m-$1bn,1001 - 5000 employees,Corporate
13545236,2016,UNITED KINGDOM,HEAD OF FUNCTION,$50-$100m,100 - 500 employees,Research
13611235,2016,FRANCE,DIRECTOR OF FUNCTION,$100-$500m,501 - 1000 employees,Corporate
13655835,2016,UNITED KINGDOM,SENIOR MANAGER,$500m-$1bn,501 - 1000 employees,Academic
13685809,2016,NETHERLANDS,SENIOR MANAGER,$50-$100m,51 - 100 employees,Corporate
13694332,2016,UNITED KINGDOM,SENIOR MANAGER,$50-$100m,100 - 500 employees,Research
13697983,2016,GERMANY,HEAD OF FUNCTION,$50-$100m,100 - 500 employees,Academic
13700160,2016,UNITED STATES,HEAD OF FUNCTION,$1bn+,1001 - 5000 employees,Research
13759982,2016,RUSSIA,DIRECTOR OF FUNCTION,$20-$50m,11 - 50 employees,Corporate
13855645,2016,UNITED STATES,DIRECTOR OF FUNCTION,$500m-$1bn,1001 - 5000 employees,Research
13985057,2016,NETHERLANDS,HEAD OF FUNCTION,$20-$50m,11 - 50 employees,Academic
14009699,2016,NETHERLANDS,BOARD DIRECTOR,$100-$500m,501 - 1000 employees,Research
14050612,2016,SPAIN,BOARD DIRECTOR,$50-$100m,100 - 500 employees,Academic
14073647,2016,FRANCE,DIRECTOR OF FUNCTION,$500m-$1bn,501 - 1000 employees,Research
14090683,2016,IRELAND,MANAGER,$100-$500m,100 - 500 employees,Research
14098105,2016,NETHERLANDS,SENIOR MANAGER,$500m-$1bn,501 - 1000 employees,Research
14104945,2016,GERMANY,BOARD DIRECTOR,$20-$50m,11 - 50 employees,Research
14111211,2016,FRANCE,DIRECTOR OF FUNCTION,Less than $20m,11 - 50 employees,Academic
14128935,2016,SPAIN,BOARD DIRECTOR,$100-$500m,100 - 500 employees,Academic
14156380,2016,NETHERLANDS,BOARD DIRECTOR,$20-$50m,11 - 50 employees,Corporate
14189479,2016,UNITED KINGDOM,MANAGER,$1bn+,1001 - 5000 employees,Corporate
14202317,2016,IRELAND,BOARD DIRECTOR,$20-$50m,51 - 100 employees,Research
14233735,2016,UNITED KINGDOM,BOARD DIRECTOR,$500m-$1bn,1001 - 5000 employees,Academic
14238653,2016,SPAIN,HEAD OF FUNCTION,$20-$50m,51 - 100 employees,Research
14246358,2016,UNITED STATES,MANAGER,$500m-$1bn,1001 - 5000 employees,Academic
14247740,2016,NETHERLANDS,DIRECTOR OF FUNCTION,$1bn+,1001 - 5000 employees,Corporate
14282909,2016,GERMANY,BOARD DIRECTOR,Less than $20m,0 - 10 employees,Corporate
14298793,2016,GERMANY,MANAGER,$1bn+,1001 - 5000 employees,Academic
14353810,2016,GERMANY,DIRECTOR OF FUNCTION,$500m-$1bn,1001 - 5000 employees,Corporate
14370676,2016,IRELAND,HEAD OF FUNCTION,$500m-$1bn,1001 - 5000 employees,Corporate
14486611,2016,FRANCE,SENIOR MANAGER,$1bn+,1001 - 5000 employees,Corporate
14539024,2016,FRANCE,BOARD DIRECTOR,$1bn+,5000+ employees,Research
14624389,2016,GERMANY,BOARD DIRECTOR,Less than $20m,0 - 10 employees,Corporate
14628293,2016,NETHERLANDS,SENIOR MANAGER,$50-$100m,100 - 500 employees,Research
14667675,2016,NETHERLANDS,HEAD OF FUNCTION,$100-$500m,100 - 500 employees,Academic
14691264,2016,RUSSIA,MANAGER,$50-$100m,51 - 100 employees,Academic
14725778,2016,UNITED KINGDOM,BOARD DIRECTOR,$20-$50m,51 - 100 employees,Corporate
14780537,2016,GERMANY,DIRECTOR OF FUNCTION,$500m-$1bn,1001 - 5000 employees,Academic
14784888,2016,UNITED KINGDOM,SENIOR MANAGER,$20-$50m,51 - 100 employees,Research
14785726,2016,RUSSIA,SENIOR MANAGER,$100-$500m,501 - 1000 employees,Corporate
14789391,2016,UNITED STATES,BOARD DIRECTOR,Less than $20m,11 - 50 employees,Corporate
14797899,2016,FRANCE,SENIOR MANAGER,$50-$100m,51 - 100 employees,Academic
14802716,2016,UNITED STATES,BOARD DIRECTOR,$20-$50m,51 - 100 employees,Corporate
14814004,2016,UNITED KINGDOM,HEAD OF FUNCTION,$1bn+,1001 - 5000 employees,Corporate
14829521,2016,SPAIN,HEAD OF FUNCTION,$20-$50m,11 - 50 employees,Corporate
14830238,2016,UNITED STATES,SENIOR MANAGER,$1bn+,5000+ employees,Academic
14860080,2016,IRELAND,SENIOR MANAGER,$500m-$1bn,501 - 1000 employees,Academic
14882001,2016,UNITED STATES,MANAGER,$1bn+,5000+ employees,Corporate
14935296,2016,SPAIN,HEAD OF FUNCTION,$100-$500m,100 - 500 employees,Academic
14959538,2016,GERMANY,DIRECTOR OF FUNCTION,$500m-$1bn,1001 - 5000 employees,Corporate
14963461,2016,UNITED STATES,SENIOR MANAGER,$1bn+,1001 - 5000 employees,Research
14990286,2016,RUSSIA,BOARD DIRECTOR,$100-$500m,501 - 1000 employees,Academic
14998045,2016,IRELAND,SENIOR MANAGER,Less than $20m,0 - 10 employees,Corporate
15016335,2016,SPAIN,DIRECTOR OF FUNCTION,$20-$50m,11 - 50 employees,Corporate
15103762,2016,UNITED STATES,MANAGER,$1bn+,1001 - 5000 employees,Corporate
15140402,2016,RUSSIA,DIRECTOR OF FUNCTION,$50-$100m,51 - 100 employees,Academic
15159257,2016,SPAIN,SENIOR MANAGER,$100-$500m,100 - 500 employees,Research
15176358,2016,GERMANY,BOARD DIRECTOR,Less than $20m,11 - 50 employees,Academic
15199397,2016,GERMANY,BOARD DIRECTOR,Less than $20m,11 - 50 employees,Academic
15205801,2016,FRANCE,DIRECTOR OF FUNCTION,$20-$50m,11 - 50 employees,Academic
15218130,2016,GERMANY,DIRECTOR OF FUNCTION,$20-$50m,11 - 50 employees,Academic
15243656,2016,UNITED KINGDOM,MANAGER,$500m-$1bn,1001 - 5000 employees,Corporate
15286805,2016,UNITED STATES,BOARD DIRECTOR,$50-$100m,100 - 500 employees,Research
15301463,2016,BELGIUM,DIRECTOR OF FUNCTION,$1bn+,5000+ employees,Corporate
15362642,2016,UNITED KINGDOM,MANAGER,$1bn+,1001 - 5000 employees,Academic
15375555,2016,GERMANY,SENIOR MANAGER,$500m-$1bn,1001 - 5000 employees,Research
15386043,2016,UNITED KINGDOM,SENIOR MANAGER,$500m-$1bn,501 - 1000 employees,Corporate
15451946,2016,UNITED STATES,HEAD OF FUNCTION,$20-$50m,51 - 100 employees,Research
15465226,2016,FRANCE,HEAD OF FUNCTION,$1bn+,1001 - 5000 employees,Corporate
15485365,2016,IRELAND,MANAGER,Less than $20m,0 - 10 employees,Corporate
15534224,2016,UNITED KINGDOM,DIRECTOR OF FUNCTION,$20-$50m,51 - 100 employees,Research
15575016,2016,GERMANY,HEAD OF FUNCTION,Less than $20m,0 - 10 employees,Research
15588169,2016,RUSSIA,HEAD OF FUNCTION,Less than $20m,0 - 10 employees,Academic
15596180,2016,NETHERLANDS,BOARD DIRECTOR,$500m-$1bn,501 - 1000 employees,Research
15596766,2016,RUSSIA,SENIOR MANAGER,Less than $20m,0 - 10 employees,Academic
15611778,2016,FRANCE,HEAD OF FUNCTION,$1bn+,5000+ employees,Research
15616237,2016,GERMANY,MANAGER,Less than $20m,0 - 10 employees,Research
15650719,2016,NETHERLANDS,HEAD OF FUNCTION,$100-$500m,501 - 1000 employees,Corporate
15655437,2016,NETHERLANDS,BOARD DIRECTOR,$50-$100m,51 - 100 employees,Corporate
15663346,2016,UNITED KINGDOM,DIRECTOR OF FUNCTION,$20-$50m,11 - 50 employees,Corporate
15694570,2016,IRELAND,SENIOR MANAGER,$20-$50m,11 - 50 employees,Academic
15713301,2016,RUSSIA,DIRECTOR OF FUNCTION,$1bn+,1001 - 5000 employees,Academic
15714966,2016,SPAIN,DIRECTOR OF FUNCTION,$1bn+,5000+ employees,Corporate
15726984,2016,NETHERLANDS,BOARD DIRECTOR,Less than $20m,11 - 50 employees,Research
15802766,2016,UNITED STATES,BOARD DIRECTOR,$1bn+,5000+ employees,Research
15846839,2016,SPAIN,SENIOR MANAGER,$1bn+,1001 - 5000 employees,Academic
15890959,2016,UNITED KINGDOM,MANAGER,$1bn+,5000+ employees,Academic
15896839,2016,UNITED STATES,MANAGER,Less than $20m,0 - 10 employees,Research
15908102,2016,NETHERLANDS,DIRECTOR OF FUNCTION,$100-$500m,100 - 500 employees,Research
15960965,2016,UNITED STATES,DIRECTOR OF FUNCTION,$50-$100m,51 - 100 employees,Corporate
15961824,2016,FRANCE,BOARD DIRECTOR,$500m-$1bn,501 - 1000 employees,Research
15993965,2016,RUSSIA,HEAD OF FUNCTION,Less than $20m,0 - 10 employees,Academic
16004219,2016,GERMANY,BOARD DIRECTOR,$1bn+,1001 - 5000 employees,Research
16027591,2016,UNITED STATES,MANAGER,$20-$50m,11 - 50 employees,Academic
16082827,2016,UNITED STATES,DIRECTOR OF FUNCTION,$100-$500m,501 - 1000 employees,Research
16138861,2016,FRANCE,MANAGER,$500m-$1bn,501 - 1000 employees,Academic
16198141,2016,UNITED STATES,HEAD OF FUNCTION,$500m-$1bn,1001 - 5000 employees,Research
16222969,2016,UNITED STATES,HEAD OF FUNCTION,$50-$100m,100 - 500 employees,Corporate
16232710,2016,SPAIN,HEAD OF FUNCTION,$100-$500m,501 - 1000 employees,Research
16316629,2016,GERMANY,HEAD OF FUNCTION,$100-$500m,100 - 500 employees,Research
16354305,2016,RUSSIA,MANAGER,$100-$500m,100 - 500 employees,Corporate
16394429,2016,SPAIN,MANAGER,$1bn+,5000+ employees,Research
16494885,2016,RUSSIA,HEAD OF FUNCTION,Less than $20m,11 - 50 employees,Corporate
16586063,2016,RUSSIA,HEAD OF FUNCTION,$50-$100m,100 - 500 employees,Corporate
16592284,2016,RUSSIA,SENIOR MANAGER,$20-$50m,11 - 50 employees,Academic
16628180,2016,GERMANY,HEAD OF FUNCTION,$50-$100m,100 - 500 employees,Corporate
16671564,2016,FRANCE,BOARD DIRECTOR,$1bn+,5000+ employees,Corporate
16671636,2016,RUSSIA,BOARD DIRECTOR,$50-$100m,100 - 500 employees,Corporate
16673767,2016,RUSSIA,DIRECTOR OF FUNCTION,$500m-$1bn,1001 - 5000 employees,Corporate
16692301,2016,UNITED STATES,HEAD OF FUNCTION,$100-$500m,100 - 500 employees,Research
16744831,2016,UNITED KINGDOM,DIRECTOR OF FUNCTION,$500m-$1bn,1001 - 5000 employees,Research
16750266,2016,RUSSIA,HEAD OF FUNCTION,$500m-$1bn,501 - 1000 employees,Research
16832179,2016,UNITED STATES,DIRECTOR OF FUNCTION,$20-$50m,11 - 50 employees,Research
16879837,2016,UNITED KINGDOM,HEAD OF FUNCTION,$20-$50m,11 - 50 employees,Corporate
16953808,2016,SPAIN,SENIOR MANAGER,$500m-$1bn,501 - 1000 employees,Research
16985118,2016,UNITED STATES,SENIOR MANAGER,$500m-$1bn,1001 - 5000 employees,Academic
16993532,2016,UNITED KINGDOM,MANAGER,$20-$50m,51 - 100 employees,Academic
17000661,2016,SPAIN,SENIOR MANAGER,$1bn+,5000+ employees,Corporate
17018376,2016,UNITED STATES,SENIOR MANAGER,$500m-$1bn,501 - 1000 employees,Academic
17081638,2016,GERMANY,HEAD OF FUNCTION,Less than $20m,11 - 50 employees,Academic
17082347,2016,SPAIN,DIRECTOR OF FUNCTION,$50-$100m,51 - 100 employees,Research
17089458,2016,UNITED STATES,BOARD DIRECTOR,$100-$500m,100 - 500 employees,Research
17131781,2016,GERMANY,DIRECTOR OF FUNCTION,Less than $20m,0 - 10 employees,Corporate
17218227,2016,GERMANY,MANAGER,$500m-$1bn,501 - 1000 employees,Corporate
17219905,2016,GERMANY,MANAGER,$500m-$1bn,501 - 1000 employees,Corporate
17225972,2016,UNITED STATES,BOARD DIRECTOR,$1bn+,5000+ employees,Research
17234628,2016,UNITED KINGDOM,DIRECTOR OF FUNCTION,$50-$100m,51 - 100 employees,Corporate
17242732,2016,GERMANY,MANAGER,$50-$100m,100 - 500 employees,Academic
17248159,2016,UNITED STATES,DIRECTOR OF FUNCTION,$50-$100m,51 - 100 employees,Research
17261620,2016,UNITED KINGDOM,DIRECTOR OF FUNCTION,Less than $20m,11 - 50 employees,Corporate
17273157,2016,FRANCE,HEAD OF FUNCTION,$50-$100m,100 - 500 employees,Academic
17300066,2016,RUSSIA,BOARD DIRECTOR,$500m-$1bn,501 - 1000 employees,Corporate
17304521,2016,FRANCE,MANAGER,$50-$100m,100 - 500 employees,Research
17312588,2016,FRANCE,BOARD DIRECTOR,$500m-$1bn,1001 - 5000 employees,Research
17408344,2016,SPAIN,HEAD OF FUNCTION,$100-$500m,100 - 500 employees,Research
17425126,2016,GERMANY,HEAD OF FUNCTION,$500m-$1bn,501 - 1000 employees,Research
17452124,2016,RUSSIA,DIRECTOR OF FUNCTION,$1bn+,1001 - 5000 employees,Academic
17471863,2016,RUSSIA,MANAGER,$500m-$1bn,1001 - 5000 employees,Academic
17497523,2016,GERMANY,HEAD OF FUNCTION,$1bn+,5000+ employees,Corporate
17514267,2016,UNITED KINGDOM,HEAD OF FUNCTION,$1bn+,1001 - 5000 employees,Research
17603671,2016,RUSSIA,SENIOR MANAGER,$100-$500m,501 - 1000 employees,Research
17692136,2016,UNITED STATES,MANAGER,$1bn+,5000+ employees,Academic
17718323,2016,RUSSIA,HEAD OF FUNCTION,Less than $20m,0 - 10 employees,Academic
17747846,2016,NETHERLANDS,SENIOR MANAGER,$500m-$1bn,1001 - 5000 employees,Corporate
17945202,2016,FRANCE,MANAGER,$50-$100m,51 - 100 employees,Corporate
17958052,2016,RUSSIA,DIRECTOR OF FUNCTION,Less than $20m,0 - 10 employees,Academic
17972072,2016,RUSSIA,BOARD DIRECTOR,$50-$100m,51 - 100 employees,Corporate
18038271,2016,SPAIN,DIRECTOR OF FUNCTION,$100-$500m,100 - 500 employees,Corporate
18059165,2016,RUSSIA,DIRECTOR OF FUNCTION,$100-$500m,100 - 500 employees,Academic
18061409,2016,NETHERLANDS,MANAGER,$50-$100m,100 - 500 employees,Academic
18068465,2016,FRANCE,HEAD OF FUNCTION,$50-$100m,100 - 500 employees,Research
18084089,2016,UNITED STATES,SENIOR MANAGER,Less than $20m,11 - 50 employees,Research
18101053,2016,BELGIUM,SENIOR MANAGER,$50-$100m,100 - 500 employees,Academic
18160091,2016,SPAIN,SENIOR MANAGER,$100-$500m,100 - 500 employees,Research
18176094,2016,UNITED STATES,MANAGER,$500m-$1bn,1001 - 5000 employees,Research
18271414,2016,GERMANY,DIRECTOR OF FUNCTION,Less than $20m,11 - 50 employees,Corporate
18283985,2016,NETHERLANDS,DIRECTOR OF FUNCTION,Less than $20m,11 - 50 employees,Academic
18320655,2016,UNITED STATES,SENIOR MANAGER,$50-$100m,100 - 500 employees,Academic
18428702,2016,SPAIN,SENIOR MANAGER,$50-$100m,51 - 100 employees,Academic
18441355,2016,UNITED KINGDOM,HEAD OF FUNCTION,$50-$100m,51 - 100 employees,Research
18443934,2016,UNITED KINGDOM,SENIOR MANAGER,Less than $20m,11 - 50 employees,Corporate
18445928,2016,UNITED KINGDOM,SENIOR MANAGER,Less than $20m,0 - 10 employees,Corporate
18459633,2016,RUSSIA,HEAD OF FUNCTION,$500m-$1bn,1001 - 5000 employees,Academic
18493521,2016,FRANCE,BOARD DIRECTOR,Less than $20m,11 - 50 employees,Corporate
18515999,2016,GERMANY,HEAD OF FUNCTION,$500m-$1bn,501 - 1000 employees,Academic
18526253,2016,NETHERLANDS,MANAGER,$50-$100m,51 - 100 employees,Corporate
18553765,2016,RUSSIA,SENIOR MANAGER,$100-$500m,100 - 500 employees,Research
18560589,2016,NETHERLANDS,SENIOR MANAGER,Less than $20m,0 - 10 employees,Research
18611967,2016,GERMANY,MANAGER,$1bn+,1001 - 5000 employees,Research
18619062,2016,UNITED STATES,SENIOR MANAGER,$1bn+,1001 - 5000 employees,Research
18625739,2016,IRELAND,SENIOR MANAGER,Less than $20m,11 - 50 employees,Research
18658271,2016,FRANCE,SENIOR MANAGER,$50-$100m,100 - 500 employees,Corporate
18663954,2016,FRANCE,DIRECTOR OF FUNCTION,$20-$50m,11 - 50 employees,Academic
18696855,2016,IRELAND,SENIOR MANAGER,$1bn+,1001 - 5000 employees,Corporate
18709195,2016,RUSSIA,SENIOR MANAGER,$50-$100m,100 - 500 employees,Research
18755775,2016,UNITED STATES,BOARD DIRECTOR,Less than $20m,0 - 10 employees,Academic
18763302,2016,GERMANY,MANAGER,$20-$50m,51 - 100 employees,Academic
18848760,2016,UNITED KINGDOM,SENIOR MANAGER,$100-$500m,100 - 500 employees,Corporate
18854095,2016,UNITED STATES,MANAGER,$100-$500m,100 - 500 employees,Academic
18862763,2016,UNITED KINGDOM,SENIOR MANAGER,Less than $20m,0 - 10 employees,Academic
18864593,2016,FRANCE,MANAGER,Less than $20m,0 - 10 employees,Corporate
18872092,2016,FRANCE,SENIOR MANAGER,$50-$100m,51 - 100 employees,Academic
